koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_snr,koi_steff,koi_slogg,koi_srad,koi_disposition,period,duration,depth,prad,impact,snr,steff,slogg,srad,disposition,mission,prediction,confidence,confirmed_label
0.552834211,1.2887,145.7,18.09,1.045,30.0,5132.0,3.675,2.648,FALSE POSITIVE,0.552834211,1.2887,145.7,18.09,1.045,30.0,5132.0,3.675,2.648,CANDIDATE,kepler,CANDIDATE,0.45940077,CANDIDATE
0.758354475,4.56811,581780.0,149.44,0.279,1560.5,7131.0,4.084,1.83,FALSE POSITIVE,0.758354475,4.56811,581780.0,149.44,0.279,1560.5,7131.0,4.084,1.83,FALSE POSITIVE,kepler,FALSE POSITIVE,0.9997888,FALSE POSITIVE
76.5369531,5.574,652.2,3.73,0.327,17.7,5596.0,4.105,1.466,CONFIRMED,76.5369531,5.574,652.2,3.73,0.327,17.7,5596.0,4.105,1.466,CONFIRMED,kepler,CONFIRMED,0.6185303,CONFIRMED
3.43525124,4.509,152.2,25.43,1.121,6.3,5854.0,4.014,1.742,FALSE POSITIVE,3.43525124,4.509,152.2,25.43,1.121,6.3,5854.0,4.014,1.742,CONFIRMED,kepler,CONFIRMED,0.5141393,CONFIRMED
0.962828092,4.411,63.0,40.82,1.101,22.7,6552.0,3.594,3.44,FALSE POSITIVE,0.962828092,4.411,63.0,40.82,1.101,22.7,6552.0,3.594,3.44,CANDIDATE,kepler,CANDIDATE,0.4467515,CANDIDATE
3.11141514,3.074,28.4,0.7,0.46,8.3,6450.0,4.297,1.273,CANDIDATE,3.11141514,3.074,28.4,0.7,0.46,8.3,6450.0,4.297,1.273,CONFIRMED,kepler,CONFIRMED,0.42130488,CONFIRMED
1.878156188,2.058,787.5,2.51,0.959,38.4,5075.0,4.598,0.67,FALSE POSITIVE,1.878156188,2.058,787.5,2.51,0.959,38.4,5075.0,4.598,0.67,CONFIRMED,kepler,CONFIRMED,0.58153766,CONFIRMED
7.81153999,5.984,912.8,23.56,1.271,41.3,5150.0,4.628,0.71,FALSE POSITIVE,7.81153999,5.984,912.8,23.56,1.271,41.3,5150.0,4.628,0.71,CONFIRMED,kepler,CONFIRMED,0.40530533,CONFIRMED
0.993488979,1.9694,24327.0,17.9,0.83,145.8,5811.0,4.328,0.998,FALSE POSITIVE,0.993488979,1.9694,24327.0,17.9,0.83,145.8,5811.0,4.328,0.998,FALSE POSITIVE,kepler,FALSE POSITIVE,0.6413383,FALSE POSITIVE
1.334104585,3.14624,61691.0,44.9,0.986,1334.6,6319.0,4.373,1.083,FALSE POSITIVE,1.334104585,3.14624,61691.0,44.9,0.986,1334.6,6319.0,4.373,1.083,FALSE POSITIVE,kepler,FALSE POSITIVE,0.90161186,FALSE POSITIVE
