koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_snr,koi_steff,koi_slogg,koi_srad,koi_disposition,period,duration,depth,prad,impact,snr,steff,slogg,srad,disposition,mission,prediction,confidence,confirmed_label
9.48803557,2.9575,615.8,2.26,0.146,35.8,5455.0,4.467,0.927,CONFIRMED,9.48803557,2.9575,615.8,2.26,0.146,35.8,5455.0,4.467,0.927,CONFIRMED,kepler,CONFIRMED,0.76193994,CONFIRMED
54.4183827,4.507,874.8,2.83,0.586,25.8,5455.0,4.467,0.927,CONFIRMED,54.4183827,4.507,874.8,2.83,0.586,25.8,5455.0,4.467,0.927,CONFIRMED,kepler,CONFIRMED,0.7556588,CONFIRMED
19.89913995,1.7822,10829.0,14.6,0.969,76.3,5853.0,4.544,0.868,CANDIDATE,19.89913995,1.7822,10829.0,14.6,0.969,76.3,5853.0,4.544,0.868,FALSE POSITIVE,kepler,FALSE POSITIVE,0.8797216,FALSE POSITIVE
1.736952453,2.40641,8079.2,33.46,1.276,505.6,5805.0,4.564,0.791,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,1.276,505.6,5805.0,4.564,0.791,FALSE POSITIVE,kepler,FALSE POSITIVE,0.8911655,FALSE POSITIVE
2.525591777,1.6545,603.3,2.75,0.701,40.9,6031.0,4.438,1.046,CONFIRMED,2.525591777,1.6545,603.3,2.75,0.701,40.9,6031.0,4.438,1.046,CONFIRMED,kepler,CONFIRMED,0.44141024,CONFIRMED
11.09432054,4.5945,1517.5,3.9,0.538,66.5,6046.0,4.486,0.972,CONFIRMED,11.09432054,4.5945,1517.5,3.9,0.538,66.5,6046.0,4.486,0.972,CONFIRMED,kepler,CONFIRMED,0.6972516,CONFIRMED
4.13443512,3.1402,686.0,2.77,0.762,40.2,6046.0,4.486,0.972,CONFIRMED,4.13443512,3.1402,686.0,2.77,0.762,40.2,6046.0,4.486,0.972,CONFIRMED,kepler,CONFIRMED,0.54235905,CONFIRMED
2.56658897,2.429,226.5,1.59,0.755,15.0,6046.0,4.486,0.972,CONFIRMED,2.56658897,2.429,226.5,1.59,0.755,15.0,6046.0,4.486,0.972,CONFIRMED,kepler,CONFIRMED,0.45343408,CONFIRMED
7.36178958,5.022,233.7,39.21,1.169,47.7,6227.0,3.986,1.958,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,1.169,47.7,6227.0,3.986,1.958,CONFIRMED,kepler,CONFIRMED,0.44979712,CONFIRMED
16.06864674,3.5347,4914.3,5.76,0.052,161.9,5031.0,4.485,0.848,CONFIRMED,16.06864674,3.5347,4914.3,5.76,0.052,161.9,5031.0,4.485,0.848,CONFIRMED,kepler,CONFIRMED,0.81910586,CONFIRMED
2.470613377,1.74319,14231.0,13.04,0.818,4304.3,5820.0,4.457,0.964,CONFIRMED,2.470613377,1.74319,14231.0,13.04,0.818,4304.3,5820.0,4.457,0.964,FALSE POSITIVE,kepler,FALSE POSITIVE,0.44352788,FALSE POSITIVE
2.204735417,3.88864,6674.7,16.1,0.224,5945.9,6440.0,4.019,1.952,CONFIRMED,2.204735417,3.88864,6674.7,16.1,0.224,5945.9,6440.0,4.019,1.952,FALSE POSITIVE,kepler,FALSE POSITIVE,0.69328177,FALSE POSITIVE
3.522498429,3.19843,9145.7,14.59,0.631,1741.5,6225.0,4.169,1.451,CONFIRMED,3.522498429,3.19843,9145.7,14.59,0.631,1741.5,6225.0,4.169,1.451,CONFIRMED,kepler,CONFIRMED,0.4670491,CONFIRMED
3.709214104,2.6302,131.1,1.16,0.051,50.6,5833.0,4.407,1.022,CONFIRMED,3.709214104,2.6302,131.1,1.16,0.051,50.6,5833.0,4.407,1.022,CONFIRMED,kepler,CONFIRMED,0.72613376,CONFIRMED
11.521446064,3.6399,17984.0,150.51,2.483,622.1,5795.0,4.554,0.848,FALSE POSITIVE,11.521446064,3.6399,17984.0,150.51,2.483,622.1,5795.0,4.554,0.848,FALSE POSITIVE,kepler,FALSE POSITIVE,0.9767381,FALSE POSITIVE
19.40393776,12.2155,8918.7,7.18,0.804,214.7,5043.0,4.591,0.68,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,0.804,214.7,5043.0,4.591,0.68,FALSE POSITIVE,kepler,FALSE POSITIVE,0.74573827,FALSE POSITIVE
19.221388942,4.79843,74284.0,49.29,1.065,2317.0,6117.0,4.496,0.947,FALSE POSITIVE,19.221388942,4.79843,74284.0,49.29,1.065,2317.0,6117.0,4.496,0.947,FALSE POSITIVE,kepler,FALSE POSITIVE,0.9888164,FALSE POSITIVE
16.46983774,9.4378,10479.0,7.94,0.292,303.4,5152.0,4.517,0.786,FALSE POSITIVE,16.46983774,9.4378,10479.0,7.94,0.292,303.4,5152.0,4.517,0.786,CONFIRMED,kepler,CONFIRMED,0.63346416,CONFIRMED
9.27358173,3.2875,1288.3,2.47,0.387,87.2,4856.0,4.583,0.696,CONFIRMED,9.27358173,3.2875,1288.3,2.47,0.387,87.2,4856.0,4.583,0.696,CONFIRMED,kepler,CONFIRMED,0.7934271,CONFIRMED
6.02930329,1.5821,1912.7,2.85,0.258,65.4,4537.0,4.648,0.672,CONFIRMED,6.02930329,1.5821,1912.7,2.85,0.258,65.4,4537.0,4.648,0.672,CONFIRMED,kepler,CONFIRMED,0.7779978,CONFIRMED
2.696370652,3.6129,397.9,1.58,0.044,48.2,4989.0,4.504,0.819,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,0.044,48.2,4989.0,4.504,0.819,CONFIRMED,kepler,CONFIRMED,0.7973892,CONFIRMED
5.349553819,3.0278,831.0,2.55,0.092,60.6,5185.0,4.44,0.91,CONFIRMED,5.349553819,3.0278,831.0,2.55,0.092,60.6,5185.0,4.44,0.91,CONFIRMED,kepler,CONFIRMED,0.7978584,CONFIRMED
3.94105221,2.5984,363.3,1.7,0.226,28.9,5185.0,4.44,0.91,CONFIRMED,3.94105221,2.5984,363.3,1.7,0.226,28.9,5185.0,4.44,0.91,CONFIRMED,kepler,CONFIRMED,0.7837706,CONFIRMED
8.10904807,3.596,217.4,1.3,0.025,14.1,5185.0,4.44,0.91,CONFIRMED,8.10904807,3.596,217.4,1.3,0.025,14.1,5185.0,4.44,0.91,CONFIRMED,kepler,CONFIRMED,0.7847122,CONFIRMED
386.6030528,6.8057,24927.0,41.5,0.9765,994.0,5543.0,4.081,1.58,FALSE POSITIVE,386.6030528,6.8057,24927.0,41.5,0.9765,994.0,5543.0,4.081,1.58,FALSE POSITIVE,kepler,FALSE POSITIVE,0.7993368,FALSE POSITIVE
21.67699193,3.4555,857.2,2.95,0.896,34.3,4954.0,4.5,0.828,CONFIRMED,21.67699193,3.4555,857.2,2.95,0.896,34.3,4954.0,4.5,0.828,CONFIRMED,kepler,CONFIRMED,0.7818462,CONFIRMED
4.99677968,2.1717,934.7,2.78,0.71,28.2,5339.0,4.552,0.847,CONFIRMED,4.99677968,2.1717,934.7,2.78,0.71,28.2,5339.0,4.552,0.847,CONFIRMED,kepler,CONFIRMED,0.73326993,CONFIRMED
4.280963604,2.875,750.8,2.3,0.424,61.8,5644.0,4.564,0.831,CONFIRMED,4.280963604,2.875,750.8,2.3,0.424,61.8,5644.0,4.564,0.831,CONFIRMED,kepler,CONFIRMED,0.7164809,CONFIRMED
1.50635409,1.5155,2211.7,4.53,0.86,181.1,5714.0,4.563,0.831,FALSE POSITIVE,1.50635409,1.5155,2211.7,4.53,0.86,181.1,5714.0,4.563,0.831,FALSE POSITIVE,kepler,FALSE POSITIVE,0.44195643,FALSE POSITIVE
670.645531,53.412,18091.0,14.14,0.701,642.7,5520.0,4.466,0.983,FALSE POSITIVE,670.645531,53.412,18091.0,14.14,0.701,642.7,5520.0,4.466,0.983,FALSE POSITIVE,kepler,FALSE POSITIVE,0.99683917,FALSE POSITIVE
61.2563628,7.633,5123.3,39.87,1.248,85.3,6144.0,4.402,1.091,FALSE POSITIVE,61.2563628,7.633,5123.3,39.87,1.248,85.3,6144.0,4.402,1.091,FALSE POSITIVE,kepler,FALSE POSITIVE,0.6488891,FALSE POSITIVE
38.3775486,5.588,724.2,2.82,0.468,34.7,5481.0,4.369,1.036,CONFIRMED,38.3775486,5.588,724.2,2.82,0.468,34.7,5481.0,4.369,1.036,CONFIRMED,kepler,CONFIRMED,0.77488315,CONFIRMED
41.19725502,4.6297,2213.9,3.86,0.045,51.2,5031.0,4.485,0.848,CONFIRMED,41.19725502,4.6297,2213.9,3.86,0.045,51.2,5031.0,4.485,0.848,CONFIRMED,kepler,CONFIRMED,0.79125506,CONFIRMED
6.252962249,2.5819,1036.9,2.65,0.105,47.1,5031.0,4.485,0.848,CONFIRMED,6.252962249,2.5819,1036.9,2.65,0.105,47.1,5031.0,4.485,0.848,CONFIRMED,kepler,CONFIRMED,0.7936852,CONFIRMED
16.01308419,3.2554,1121.9,3.1,0.799,33.2,5015.0,4.499,0.826,CONFIRMED,16.01308419,3.2554,1121.9,3.1,0.799,33.2,5015.0,4.499,0.826,CONFIRMED,kepler,CONFIRMED,0.78145194,CONFIRMED
32.62876672,4.7971,1804.8,3.36,0.021,80.0,5586.0,4.56,0.798,CONFIRMED,32.62876672,4.7971,1804.8,3.36,0.021,80.0,5586.0,4.56,0.798,CONFIRMED,kepler,CONFIRMED,0.74707055,CONFIRMED
91.7732862,6.473,652.0,2.12,0.606,19.1,5586.0,4.56,0.798,CONFIRMED,91.7732862,6.473,652.0,2.12,0.606,19.1,5586.0,4.56,0.798,CONFIRMED,kepler,CONFIRMED,0.6665511,CONFIRMED
4.959319244,2.22739,9802.0,12.21,0.831,696.5,5712.0,4.359,1.082,CONFIRMED,4.959319244,2.22739,9802.0,12.21,0.831,696.5,5712.0,4.359,1.082,CONFIRMED,kepler,CONFIRMED,0.5731351,CONFIRMED
2.701287801,3.3827,860.4,6.54,1.016,48.3,5550.0,4.468,0.91,FALSE POSITIVE,2.701287801,3.3827,860.4,6.54,1.016,48.3,5550.0,4.468,0.91,CONFIRMED,kepler,CONFIRMED,0.706151,CONFIRMED
4.49876511,3.7362,460.0,2.1,0.312,29.5,6075.0,4.486,0.969,CONFIRMED,4.49876511,3.7362,460.0,2.1,0.312,29.5,6075.0,4.486,0.969,CONFIRMED,kepler,CONFIRMED,0.70057684,CONFIRMED
19.651209505,5.2514,11766.0,12.42,0.723,513.4,6074.0,4.391,1.063,FALSE POSITIVE,19.651209505,5.2514,11766.0,12.42,0.723,513.4,6074.0,4.391,1.063,FALSE POSITIVE,kepler,FALSE POSITIVE,0.63066053,FALSE POSITIVE
5.412203927,2.9472,601.6,2.94,0.787,166.7,5779.0,4.339,1.087,CONFIRMED,5.412203927,2.9472,601.6,2.94,0.787,166.7,5779.0,4.339,1.087,CONFIRMED,kepler,CONFIRMED,0.7473918,CONFIRMED
41.43958662,10.5989,2793.1,5.5,0.355,141.1,5468.0,4.367,1.046,CONFIRMED,41.43958662,10.5989,2793.1,5.5,0.355,141.1,5468.0,4.367,1.046,CONFIRMED,kepler,CONFIRMED,0.6382365,CONFIRMED
8.35389523,2.2514,1041.6,2.52,0.023,43.4,5592.0,4.582,0.787,CONFIRMED,8.35389523,2.2514,1041.6,2.52,0.023,43.4,5592.0,4.582,0.787,CONFIRMED,kepler,CONFIRMED,0.7030724,CONFIRMED
4.125543472,3.1744,1487.3,4.43,0.597,128.6,6174.0,4.417,1.103,CONFIRMED,4.125543472,3.1744,1487.3,4.43,0.597,128.6,6174.0,4.417,1.103,CONFIRMED,kepler,CONFIRMED,0.6582505,CONFIRMED
2.816504904,2.50587,16814.0,12.21,0.105,1406.8,5532.0,4.452,0.955,CONFIRMED,2.816504904,2.50587,16814.0,12.21,0.105,1406.8,5532.0,4.452,0.955,CONFIRMED,kepler,CONFIRMED,0.7888401,CONFIRMED
33.93373447,14.561,8503.7,7.34,0.812,236.1,5040.0,4.628,0.705,FALSE POSITIVE,33.93373447,14.561,8503.7,7.34,0.812,236.1,5040.0,4.628,0.705,FALSE POSITIVE,kepler,FALSE POSITIVE,0.82079726,FALSE POSITIVE
3.689920099,2.6557,426.7,1.89,0.151,35.6,5880.0,4.518,0.917,CONFIRMED,3.689920099,2.6557,426.7,1.89,0.151,35.6,5880.0,4.518,0.917,CONFIRMED,kepler,CONFIRMED,0.6807237,CONFIRMED
4.431238488,3.15,1010.9,3.25,0.405,71.1,5714.0,4.428,1.015,CONFIRMED,4.431238488,3.15,1010.9,3.25,0.405,71.1,5714.0,4.428,1.015,CONFIRMED,kepler,CONFIRMED,0.75658643,CONFIRMED
11.37936986,2.6255,1023.5,3.95,0.911,37.9,5714.0,4.428,1.015,CONFIRMED,11.37936986,2.6255,1023.5,3.95,0.911,37.9,5714.0,4.428,1.015,CONFIRMED,kepler,CONFIRMED,0.66466516,CONFIRMED
26.39432897,3.573,1510.9,3.07,0.602,48.2,5129.0,4.595,0.763,CONFIRMED,26.39432897,3.573,1510.9,3.07,0.602,48.2,5129.0,4.595,0.763,CONFIRMED,kepler,CONFIRMED,0.7634153,CONFIRMED
13.57078281,3.3539,511.7,2.64,0.866,88.4,5854.0,4.406,1.012,CONFIRMED,13.57078281,3.3539,511.7,2.64,0.866,88.4,5854.0,4.406,1.012,CONFIRMED,kepler,CONFIRMED,0.6799921,CONFIRMED
